source,scraped_at,title,description,price,price_raw,city,district,ward,address,property_size,property_size_raw,property_type,bedrooms,bathrooms,amenities,currency,listing_id,crawl_status,listing_url
batdongsan.com.vn,2026-04-24T14:08:52Z,"Siêu phẩm Yên Hoà,toà CHDV 65m2*7t,16 phòng kk,MT4m,DT 70 tr/th,full PCCC,TM,3 thoáng,ngõ sinh viên",N/A,14 tỷ,14 tỷ,N/A,N/A,N/A,N/A,65 m2,65 m2,Private house,N/A,N/A,,VND,45604778,ok,https://batdongsan.com.vn/ban-nha-rieng-duong-ha-yen-quyet-phuong-yen-hoa-2-7/sieu-pham-toa-chdv-65m2-7t-16-phong-kk-mt4m-dt-70-tr-th-full-pccc-tm-3-thoang-ngo-sinh-vien-pr45604778
batdongsan.com.vn,2026-04-24T14:08:56Z,"Căn hộ hàng hiệu Hanoi Signature - sẵn sổ đỏ, vị trí kiêu hãnh TT hành chính mới thủ đô Hà Nội",N/A,200 triệu,200 triệu,N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,3,3,,VND,45481989,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-huyen-phuong-nghia-do-1-hanoi-signature/hang-hieu-san-so-o-vi-tri-kieu-hanh-tt-hanh-chinh-moi-thu-o-ha-noi-pr45481989
batdongsan.com.vn,2026-04-24T14:09:00Z,"CAM KẾT KHÔNG GIÁ ẢO , TIN ẢO - QUỸ CĂN 1-3N+ GIÁ TỐT NHẤT CC SKY PARK RESIDENCE TÔN THẤT THUYẾT",N/A,"10,8 tỷ","10,8 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,N/A,,VND,45598128,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-that-thuyet-phuong-dich-vong-hau-sky-park-residence/cam-ket-khong-gia-ao-tin-ao-quy-1-3n-gia-tot-nhat-cc-thuyet-pr45598128
batdongsan.com.vn,2026-04-24T14:09:05Z,Phân lô quân đội Phạm Tuấn Tài/ Nghĩa Đô- 55m2 x 5 tầng- hơn 20 tỷ- vỉa hè 2.5m- đường ô tô tránh,N/A,20 tỷ,20 tỷ,N/A,Oi O 55M2 X 5 Tang Hon 20 Ty Via He 2 5M Uong O To Tranh Pr45595298,N/A,N/A,55 m2,55 m2,Private house,N/A,N/A,,VND,45595298,ok,https://batdongsan.com.vn/ban-nha-rieng-pho-pham-tuan-tai-phuong-nghia-do-1-7/phan-lo-quan-oi-o-55m2-x-5-tang-hon-20-ty-via-he-2-5m-uong-o-to-tranh-pr45595298
batdongsan.com.vn,2026-04-24T14:09:10Z,"Bán gấp căn hộ 3PN, 2WC, 113m2 tại IPH, view không bị chắn, giá 13,7 tỷ, full nội thất, sẵn sổ đỏ",N/A,"13,7 tỷ","13,7 tỷ",N/A,N/A,N/A,N/A,113 m2,113 m2,Apartment,3,2,,VND,45183301,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-indochina-plaza-hanoi/ban-gap-3pn-2wc-113m2-tai-ha-noi-gia-tot-nhat-hien-tai-pr45183301
batdongsan.com.vn,2026-04-24T14:09:15Z,"CẦN BÁN NHÀ 5 TẦNG QUẬN CẦU GIẤY NGÕ 42 YÊN HÒA, 7.5 TỶ, DT 30M, LÔ GÓC, NHÀ ĐẸP FULL NỘI THẤT",N/A,7.5 TỶ,7.5 TỶ,N/A,Cau Giay Ngo 42 7 5 Ty Dt 30M Lo Goc Ep Full Noi That Pr45594067,N/A,N/A,2 M2,2 M2,Private house,1,N/A,,VND,45594067,ok,https://batdongsan.com.vn/ban-nha-rieng-phuong-yen-hoa-2/can-ban-5-tang-quan-cau-giay-ngo-42-7-5-ty-dt-30m-lo-goc-ep-full-noi-that-pr45594067
batdongsan.com.vn,2026-04-24T14:09:19Z,"CC CẦN BÁN GẤP CĂN NHÀ 5 TẦNG NGÕ 155 CẦU GIẤY ÔTÔ 4 CHỖ ĐỖ CỬA, DT 30/33M, GIÁ 9,5 TỶ, MT 4M, SĐCC",N/A,"9,5 TỶ","9,5 TỶ",N/A,N/A,N/A,N/A,2 M2,2 M2,Private house,N/A,N/A,,VND,45592277,ok,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-giay-phuong-dich-vong-7/cc-can-ban-gap-can-5-tang-ngo-155-oto-4-cho-o-cua-dt-30-33m-gia-9-5-ty-mt-4m-s-cc-pr45592277
batdongsan.com.vn,2026-04-24T14:09:24Z,"(Chính chủ). Bán gấp căn hộ 2PN - 3PN chung cư Vinhomes D'Capitale, view hồ, giá rẻ nhất",N/A,"8,9 tỷ","8,9 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,N/A,,VND,42527084,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-vinhomes-d-capitale/chinh-chu-ban-gap-2pn-76m2-va-3pn-90m2-dcapitale-gia-sieu-re-pr42527084
batdongsan.com.vn,2026-04-24T14:09:29Z,"Chuyên mua bán căn hộ tại D'. Capitale với thông tin đầy đủ, chính xác và cập nhật quỹ căn chi tiết",N/A,14 tỷ,14 tỷ,N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,N/A,1,,VND,45588282,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-vinhomes-d-capitale/ban-tai-voi-thong-tin-ay-u-chinh-xac-va-cap-nhat-quy-chi-tiet-pr45588282
batdongsan.com.vn,2026-04-24T14:09:32Z,"(2PN Duy nhất có Ban Công)Bán CC Mipec Rubik 360, 9 tỷ VND, 70m2, siêu hot!",N/A,9 tỷ,9 tỷ,N/A,N/A,N/A,N/A,70 m2,70 m2,Apartment,N/A,N/A,,VND,45467016,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-mipec-rubik-360/ban-cc-360-9-ty-vnd-70m2-2pn-2wc-sieu-hot-pr45467016
